,Teams,Type of Match,Date,Time,Venues,Series,Latitiude,Longitude
0,ZIM vs IND,2nd T20I,"Jun 20,2016",16:30 (IST)," Harare Sports Club, Harare "," India in Zimbabwe, 3 T20 International Series, 2016 ",-17.7996766,31.0170247
1,ENG vs SL,1st ODI,"Jun 21,2016",18:30 (IST)," Trent Bridge, Nottingham "," Sri Lanka in England, 5 ODI Series, 2016 ",52.937772,-1.1313849
2,WI vs AUS,Match 8,"Jun 21,2016",22:30 (IST)," Kensington Oval, Bridgetown, Barbados "," West Indies Tri-Nation Series, 2016 ",13.1057481,-59.6227946
3,ZIM vs IND,3rd T20I,"Jun 22,2016",16:30 (IST)," Harare Sports Club, Harare "," India in Zimbabwe, 3 T20 International Series, 2016 ",-17.7996766,31.0170247
4,WI vs SA,Match 9,"Jun 24,2016",22:30 (IST)," Kensington Oval, Bridgetown, Barbados "," West Indies Tri-Nation Series, 2016 ",13.1057481,-59.6227946
5,ENG vs SL,2nd ODI,"Jun 24,2016",18:30 (IST)," Edgbaston, Birmingham "," Sri Lanka in England, 5 ODI Series, 2016 ",52.4608009,-1.914995
6,ENG vs SL,3rd ODI,"Jun 26,2016",15:00 (IST)," County Ground, Bristol "," Sri Lanka in England, 5 ODI Series, 2016 ",42.0313267,-71.2588834
7,TBC vs TBC,Final,"Jun 26,2016",22:30 (IST)," Kensington Oval, Bridgetown, Barbados "," West Indies Tri-Nation Series, 2016 ",13.1057481,-59.6227946
8,ENG vs SL,4th ODI,"Jun 29,2016",17:30 (IST)," The Oval, London "," Sri Lanka in England, 5 ODI Series, 2016 ",51.5329973,-0.0590888
9,ENG vs SL,5th ODI,"Jul 02,2016",15:00 (IST)," Sophia Gardens, Cardiff "," Sri Lanka in England, 5 ODI Series, 2016 ",51.484295,-3.1895088
10,SCO vs AFG,1st ODI,"Jul 04,2016",15:15 (IST)," Grange Cricket Club, Raeburn Place, Edinburgh "," Afghanistan in Scotland, 2 ODI Series, 2016 ",55.95913780000001,-3.2127506
11,ENG vs SL,One-off T20I,"Jul 05,2016",23:00 (IST)," The Rose Bowl, Southampton "," Sri Lanka in England, Only T20 International, 2016 ",50.90970040000001,-1.4043509
12,SCO vs AFG,2nd ODI,"Jul 06,2016",15:15 (IST)," Grange Cricket Club, Raeburn Place, Edinburgh "," Afghanistan in Scotland, 2 ODI Series, 2016 ",55.95913780000001,-3.2127506
